subjid,condition,yrange
0,Middle,2.00
1,Middle,0.25
2,Bottom,0.00
3,Middle,2.00
4,Middle,0.00
5,Bottom,1.00
6,Bottom,1.75
7,Bottom,2.00
8,Middle,2.00
9,Middle,0.25
10,Bottom,0.25
11,Middle,0.50
12,Bottom,0.25
13,Bottom,2.00
14,Middle,2.00
15,Middle,0.25
16,Bottom,0.75
17,Bottom,1.00
18,Bottom,0.25
19,Bottom,1.50
20,Bottom,1.00
21,Bottom,2.00
22,Middle,2.00
23,Middle,2.00
24,Bottom,2.00
25,Bottom,2.00
26,Bottom,0.00
27,Bottom,1.25
28,Bottom,2.00
29,Middle,0.50
30,Bottom,1.50
31,Bottom,0.25
32,Middle,2.00
33,Bottom,0.75
34,Bottom,2.00
35,Bottom,0.00
36,Middle,0.25
37,Bottom,0.75
38,Bottom,1.50
39,Middle,2.00
40,Middle,1.25
41,Middle,0.75
42,Middle,2.00
43,Middle,2.00
44,Middle,2.00
45,Middle,0.00
46,Middle,2.00
47,Middle,0.25
48,Middle,2.00
49,Middle,2.00
50,Middle,1.50
51,Middle,2.00
52,Middle,0.00
53,Middle,0.00
54,Bottom,0.75
55,Bottom,1.75
56,Bottom,1.50
57,Middle,0.75
58,Bottom,0.25
59,Bottom,0.50
60,Middle,1.25
61,Bottom,2.00
62,Middle,0.25
63,Middle,2.00
64,Bottom,0.25
65,Middle,0.00
66,Bottom,0.00
67,Bottom,0.00
68,Bottom,0.75
69,Middle,0.50
70,Bottom,1.75
71,Bottom,0.00
72,Bottom,2.00
73,Bottom,2.00
74,Bottom,0.50
75,Bottom,2.00
76,Bottom,0.25
77,Bottom,0.75
78,Bottom,2.00
79,Bottom,0.25
80,Bottom,0.25
81,Middle,0.00
82,Bottom,2.00
83,Bottom,2.00
84,Bottom,0.00
85,Bottom,1.50
86,Bottom,0.25
87,Bottom,2.00
88,Middle,2.00
89,Middle,2.00
90,Bottom,0.00
91,Bottom,1.75
92,Bottom,0.75
93,Middle,2.00
94,Bottom,0.25
95,Bottom,0.75
96,Middle,2.00
97,Middle,0.50
98,Middle,1.75
99,Middle,2.00
100,Middle,0.00
101,Middle,0.25
102,Middle,2.00
103,Middle,2.00
104,Middle,1.75
105,Middle,1.00
106,Bottom,1.25
107,Middle,1.50
108,Middle,0.25
109,Middle,0.50
110,Middle,0.00
111,Middle,1.50
112,Middle,2.00
113,Middle,2.00
114,Middle,0.25
115,Middle,2.00
116,Bottom,0.25
117,Middle,2.00
118,Middle,0.75
119,Bottom,0.25
120,Bottom,2.00
121,Middle,2.00
