Model,Parm,xcrA,xcrABC,xcrB,xcrC,xcr
CopyTweak,specificity,4.883,3.540,2.933,2.798,2.323
CopyTweak,determinism,2.014,2.229,2.053,3.341,2.781
CopyTweak,nLL,4818.300,13874.481,4644.047,4347.721,2955.925
CopyTweak,AIC,9640.599,27752.961,9292.094,8699.442,5915.851
Representative,category_mean_bias,11.155,11.360,6.682,14.167,6.840
Representative,category_variance_bias,2.285,2.068,2.139,1.682,2.931
Representative,domain_variance_bias,0.995,1.516,0.651,4.116,2.035
Representative,determinism,2.929,4.390,1.918,10.270,4.620
Representative,nLL,4765.681,13704.129,4575.199,4332.897,2694.231
Representative,AIC,9539.362,27416.258,9158.399,8673.795,5396.462
PACKER,specificity,2.532,1.619,1.326,0.853,0.293
PACKER,theta_cntrst,1.599,1.322,1.701,1.317,3.748
PACKER,theta_target,1.565,2.121,2.137,4.596,5.124
PACKER,nLL,4724.214,13630.644,4539.944,4274.085,2795.267
PACKER,AIC,9454.427,27267.288,9085.887,8554.169,5596.534
N. PACKER,specificity,2.533,1.616,1.323,0.853, 
N. PACKER,theta_cntrst,1.599,1.322,1.702,1.316, 
N. PACKER,theta_target,1.566,2.122,2.139,4.596, 
N. PACKER,negwt,0.000,0.000,0.000,0.000, 
N. PACKER,nLL,4724.214,13630.644,4539.943,4274.085, 
N. PACKER,AIC,9456.427,27269.288,9087.887,8556.169, 
Hier. Samp.,category_mean_bias,0.000,0.000,0.000,0.000,0.000
Hier. Samp.,category_variance_bias,9.780,18.920,32.991,3.386,6.230
Hier. Samp.,domain_variance_bias,0.082,0.053,0.029,0.081,0.064
Hier. Samp.,determinism,3.491,3.895,3.321,4.038,3.580
Hier. Samp.,nLL,4915.846,13983.358,4679.939,4358.862,2968.349
Hier. Samp.,AIC,9839.692,27974.716,9367.879,8725.723,5944.699
NCopyTweak,specificity,5.074,3.602,2.963,2.824, 
NCopyTweak,determinism,1.997,2.214,2.042,3.323, 
NCopyTweak,negwt,0.379,0.137,0.072,0.059, 
NCopyTweak,nLL,4800.873,13859.977,4642.948,4344.476, 
NCopyTweak,AIC,9607.745,27725.953,9291.896,8694.951, 
Neg. Sp.,determinism,1.027,0.522,0.482,0.307, 
Neg. Sp.,nLL,5093.907,14967.980,5117.386,4747.291, 
Neg. Sp.,AIC,10189.814,29937.961,10236.771,9496.581, 
N. Hier. Samp.,category_mean_bias,19.924,7.174,9.624,0.000, 
N. Hier. Samp.,category_variance_bias,8.106,3365125491745153867863344754036236571599132474329113504514048.000,5.540,5.254, 
N. Hier. Samp.,domain_variance_bias,31401808.918,29530662.655,46353384.262,0.128, 
N. Hier. Samp.,determinism,10486238672676904.000,10583221195344928.000,15260190849728314.000,5.840, 
N. Hier. Samp.,negwt,1.911,2.003,1.810,0.288, 
N. Hier. Samp.,nLL,4667.098,13863.214,4578.912,4335.462, 
N. Hier. Samp.,AIC,9344.197,27736.428,9167.824,8680.923, 
N. Representative,category_mean_bias,21.884,11.822,6.680,11.184, 
N. Representative,category_variance_bias,5.404,2.229,2.136,2.034, 
N. Representative,domain_variance_bias,18444979645866.082,1.788,0.652,4.336, 
N. Representative,determinism,41568429862018.852,5.249,1.917,12.053, 
N. Representative,negwt,55118720155634.125,0.362,0.000,0.000, 
N. Representative,nLL,4677.024,13682.663,4575.199,4306.072, 
N. Representative,AIC,9364.048,27375.326,9160.399,8622.144, 
CopyTweakRep,specificity,2.366, ,2.430,0.907, 
CopyTweakRep,determinism,1.128, ,1.523,4.432, 
CopyTweakRep,nLL,4848.711, ,4640.614,4332.433, 
CopyTweakRep,AIC,9701.423, ,9285.228,8668.866, 
