Model,Parm,xcrABC
CopyTweak,specificity,3.540
CopyTweak,determinism,2.229
CopyTweak,nLL,13874.481
CopyTweak,AIC,27752.961
Representative,category_mean_bias,11.360
Representative,category_variance_bias,2.068
Representative,domain_variance_bias,1.516
Representative,determinism,4.390
Representative,nLL,13704.129
Representative,AIC,27416.258
PACKER,specificity,1.619
PACKER,theta_cntrst,1.322
PACKER,theta_target,2.121
PACKER,nLL,13630.644
PACKER,AIC,27267.288
N. PACKER,specificity,1.616
N. PACKER,theta_cntrst,1.322
N. PACKER,theta_target,2.122
N. PACKER,negwt,0.000
N. PACKER,nLL,13630.644
N. PACKER,AIC,27269.288
Hier. Samp.,category_mean_bias,0.000
Hier. Samp.,category_variance_bias,18.920
Hier. Samp.,domain_variance_bias,0.053
Hier. Samp.,determinism,3.895
Hier. Samp.,nLL,13983.358
Hier. Samp.,AIC,27974.716
NCopyTweak,specificity,3.602
NCopyTweak,determinism,2.214
NCopyTweak,negwt,0.137
NCopyTweak,nLL,13859.977
NCopyTweak,AIC,27725.953
Neg. Sp.,determinism,0.522
Neg. Sp.,nLL,14967.980
Neg. Sp.,AIC,29937.961
N. Hier. Samp.,category_mean_bias,7.174
N. Hier. Samp.,category_variance_bias,3365125491745153867863344754036236571599132474329113504514048.000
N. Hier. Samp.,domain_variance_bias,29530662.655
N. Hier. Samp.,determinism,10583221195344928.000
N. Hier. Samp.,negwt,2.003
N. Hier. Samp.,nLL,13863.214
N. Hier. Samp.,AIC,27736.428
N. Representative,category_mean_bias,11.822
N. Representative,category_variance_bias,2.229
N. Representative,domain_variance_bias,1.788
N. Representative,determinism,5.249
N. Representative,negwt,0.362
N. Representative,nLL,13682.663
N. Representative,AIC,27375.326
